FAFB DN name,MANC DN name,source
DNa01,DNxl001,Stuerner et al.
DNa04,DNut001,Stuerner et al.
DNa05,DNut002,Stuerner et al.
DNa05,DNut037,BANC v514
DNa06,DNxn001,Stuerner et al.
DNa11,DNxl015,Stuerner et al.
DNa12,,
DNa13_a,,
DNa13_b,,
DNa14,DNxl025,Stuerner et al.
DNa15,DNut038,Stuerner et al.
DNa16,DNut055,Stuerner et al.
DNae001,DNxl022,BANC v514
DNae002,DNut060,BANC v514
DNae003,DNxn123,BANC v514
DNae004,DNut037,BANC v514
DNae005,DNxl092,BANC v514
DNae006,DNxn118,BANC v514
DNae007,DNxn143,BANC v514
DNae008,DNxl056,BANC v514
DNae009,DNxn124,BANC v514
DNae010,DNxl056,BANC v514
DNae010,DNxn122,BANC v514
DNb07,DNxn095,Stuerner et al.
DNb07,DNxn006,BANC v514
DNb08_a,,
DNb08_b,,
DNb09,DNxn008,Stuerner et al.
DNbe001,DNut040,BANC v514
DNbe002,DNxl106,BANC v514
DNbe003,DNxl095,BANC v514
DNbe004,,
DNbe005,DNxn006,BANC v514
DNbe005,DNxn007,BANC v514
DNbe006,DNxn173,BANC v514
DNbe007,DNxl082,BANC v514
DNbe007,DNxl117,BANC v514
DNc01,DNxn010,Stuerner et al.
DNc02,DNxn011,Stuerner et al.
DNd02,DNxl004,Stuerner et al.
DNd03,DNxn012,Stuerner et al.
DNd04,DNxl061,Stuerner et al.
DNd05,DNxl026,Stuerner et al.
DNde001,DNxl096,BANC v514
DNde002,DNxl117,BANC v514
DNde003,DNfl021,BANC v514
DNde003,DNxl067,BANC v514
DNde004,DNfl021,BANC v514
DNde004,DNxl067,BANC v514
DNde005,DNxl098,BANC v514
DNde006,DNxn184,BANC v514
DNde007,DNxl094,BANC v514
DNg01_a,,
DNg01_b,,
DNg02_a,,
DNg02_b,,
DNg02_c,,
DNg02_d,,
DNg02_e,,
DNg02_f,,
DNg02_g,,
DNg03,DNut011,Stuerner et al.
DNg04,DNut012,Stuerner et al.
DNg05_a,DNut053,BANC v514
DNg05_b,DNut043,BANC v514
DNg05_b,DNut050,BANC v514
DNg05_b,DNut047,BANC v514
DNg05_b,DNut053,BANC v514
DNg06_a,,
DNg06_b,,
DNg06_c,,
DNg07,DNxn013,Stuerner et al.
DNg07,DNut034,BANC v514
DNg07,DNut036,BANC v514
DNg08_a,DNxn111,BANC v514
DNg08_a,DNxn114,BANC v514
DNg08_a,DNit007,BANC v514
DNg08_a,DNit003,BANC v514
DNg08_b,DNxn114,BANC v514
DNg08_b,DNit003,BANC v514
DNg08_b,DNxn110,BANC v514
DNg09,DNnt001,Stuerner et al.
DNg09,DNxn115,BANC v514
DNg10,DNnt002,Stuerner et al.
DNg10,DNnt010,BANC v514
DNg100,DNxl058,Stuerner et al.
