MANC DN name,FAFB DN name,source
DNad001,oviDN,Stuerner et al.
DNad002,DNg66,Stuerner et al.
DNad003,DNp58,Stuerner et al.
DNad004,DNge005,BANC v514
DNad005,DNge151,BANC v514
DNad006,DNge172,BANC v514
DNfl001,DNg12,Stuerner et al.
DNfl002,DNg12,Stuerner et al.
DNfl003,DNg12,Stuerner et al.
DNfl004,DNg47,Stuerner et al.
DNfl005,DNg48,Stuerner et al.
DNfl006,DNg52,Stuerner et al.
DNfl007,DNg61,Stuerner et al.
DNfl008,DNg62,Stuerner et al.
DNfl009,DNg83,Stuerner et al.
DNfl010,DNg85,Stuerner et al.
DNfl011,DNp56,Stuerner et al.
DNfl012,DNge123,BANC v514
DNfl013,,
DNfl014,DNge009,BANC v514
DNfl014,DNge024,BANC v514
DNfl015,DNge039,BANC v514
DNfl016,,
DNfl017,DNg61,BANC v514
DNfl018,,
DNfl019,DNge025,BANC v514
DNfl020,DNge057,BANC v514
DNfl021,DNde003,BANC v514
DNfl021,DNde004,BANC v514
DNfl021,DNge173,BANC v514
DNfl021,DNge174,BANC v514
DNfl021,DNxl067,BANC v514
DNfl022,DNge027,BANC v514
DNfl023,,
DNfl024,DNge001,BANC v514
DNfl024,DNge025,BANC v514
DNfl025,DNge077,BANC v514
DNfl026,DNge147,BANC v514
DNfl026,DNge081,BANC v514
DNfl027,DNge096,BANC v514
DNfl028,DNg12_e,BANC v514
DNfl028,DNge019,BANC v514
DNfl029,,
DNfl030,DNg12_e,BANC v514
DNfl030,DNge012,BANC v514
DNfl031,DNge024,BANC v514
DNfl032,DNge146,BANC v514
DNfl033,DNge056,BANC v514
DNfl034,,
DNfl035,DNge105,BANC v514
DNfl036,DNge011,BANC v514
DNfl036,DNge012,BANC v514
DNfl037,synapseless descending,BANC v514
DNfl037,XD,BANC v514
DNfl037,DNge061,BANC v514
DNfl038,DNge065,BANC v514
DNfl039,DNge076,BANC v514
DNfl040,DNge022,BANC v514
DNfl041,DNge068,BANC v514
DNfl042,DNge036,BANC v514
DNfl043,,
DNfl044,DNg12_a,BANC v514
DNfl045,,
DNhl001,DNg14,Stuerner et al.
DNht001,PS225?,BANC v514
DNht001,DNge109,BANC v514
DNht001,DNpe008,BANC v514
DNht001,DNpe054,BANC v514
DNht001,DNp17,BANC v514
DNit001,DNa03,Stuerner et al.
DNit002,DNg77,Stuerner et al.
DNit003,DNg08_b,BANC v514
DNit003,DNg08_a,BANC v514
DNit003,DNge094,BANC v514
DNit003,DNge089,BANC v514
DNit004,DNpe035,BANC v514
DNit005,DNg18_a,BANC v514
DNit005,DNge111,BANC v514
DNit006,,
DNit007,DNg08_a,BANC v514
DNit008,DNge096,BANC v514
DNit009,,
DNit010,,
DNit011,,
DNit012,DNpe033,BANC v514
DNit013,DNpe023,BANC v514
DNlt001,DNg40,Stuerner et al.
DNlt002,DNp01,Stuerner et al.
DNlt003,DNp02,Stuerner et al.
DNlt004,DNp04,Stuerner et al.
DNlt005,DNp06,Stuerner et al.
DNlt006,DNg106,Stuerner et al.
DNlt007,DNp103,Stuerner et al.
DNlt008,DNp59,Stuerner et al.
DNlt009,,
DNlt010,DNg01,BANC v514
DNlt011,DNpe042,BANC v514
DNml001,DNge010,BANC v514
DNnt001,DNg09,Stuerner et al.
DNnt002,DNg10,Stuerner et al.
DNnt003,DNg49,Stuerner et al.
DNnt004,DNg53,Stuerner et al.
DNnt005,DNg73,Stuerner et al.
DNnt006,DNg89,Stuerner et al.
DNnt007,DNg12_d,BANC v514
DNnt007,DNge020,BANC v514
DNnt007,DNnt008,BANC v514
DNnt008,DNg12_b,BANC v514
DNnt008,DNg12_d,BANC v514
DNnt008,DNg12_a,BANC v514
DNnt008,DNg12_c,BANC v514
DNnt008,DNg12_e,BANC v514
DNnt008,DNge019,BANC v514
DNnt008,DNge020,BANC v514
DNnt008,DNnt007,BANC v514
DNnt009,DNg12_b,BANC v514
DNnt010,DNg10,BANC v514
DNnt010,DNge087,BANC v514
DNnt010,DNpe009,BANC v514
DNnt011,DNge116,BANC v514
DNnt011,DNge085,BANC v514
DNnt011,DNge071,BANC v514
DNnt011,DNge113,BANC v514
DNnt011,DNpe008,BANC v514
DNnt011,DNge145,BANC v514
DNnt011,DNpe054,BANC v514
DNnt012,DNpe012,BANC v514
DNnt012,DNpe009,BANC v514
DNnt012,DNpe011,BANC v514
DNnt013,DNg12_a,BANC v514
DNnt013,DNg12_e,BANC v514
DNnt013,DNge020,BANC v514
DNnt014,,
DNnt015,DNge070,BANC v514
DNnt016,DNge143,BANC v514
DNnt017,DNge086,BANC v514
DNnt017,DNge072,BANC v514
DNnt018,DNge033,BANC v514
DNnt019,DNge002,BANC v514
DNnt020,DNge125,BANC v514
DNnt021,DNp16,BANC v514
DNnt022,,
DNut001,DNa04,Stuerner et al.
DNut002,DNa05,Stuerner et al.
DNut003,DNa07,Stuerner et al.
DNut004,DNb02,Stuerner et al.
DNut005,DNb03,Stuerner et al.
DNut006,DNg01,Stuerner et al.
DNut007,DNg02,Stuerner et al.
DNut008,DNg02,Stuerner et al.
DNut009,DNg02,Stuerner et al.
DNut010,DNg02,Stuerner et al.
DNut011,DNg03,Stuerner et al.
DNut012,DNg04,Stuerner et al.
DNut013,DNg05,Stuerner et al.
DNut014,DNg06,Stuerner et al.
DNut015,DNg08,Stuerner et al.
DNut016,DNg18,Stuerner et al.
DNut017,DNg27,Stuerner et al.
DNut018,DNg32,Stuerner et al.
DNut019,DNg36,Stuerner et al.
