MANC DN name,side,FAFB DN name,source
DNad001,LHS,oviDN,Stuerner et al.
DNad001,RHS,oviDN,Stuerner et al.
DNad002,LHS,DNg66,Stuerner et al.
DNad002,RHS,DNg66,Stuerner et al.
DNad003,LHS,DNp58,Stuerner et al.
DNad003,RHS,DNp58,Stuerner et al.
DNad004,LHS,DNge005,BANC v514
DNad004,RHS,DNge005,BANC v514
DNad005,LHS,DNge151,BANC v514
DNad005,RHS,DNge151,BANC v514
DNad006,LHS,DNge172,BANC v514
DNad006,RHS,DNge172,BANC v514
DNfl001,LHS,DNg12,Stuerner et al.
DNfl001,RHS,DNg12,Stuerner et al.
DNfl002,LHS,DNg12,Stuerner et al.
DNfl002,RHS,DNg12,Stuerner et al.
DNfl003,LHS,DNg12,Stuerner et al.
DNfl003,RHS,DNg12,Stuerner et al.
DNfl004,LHS,DNg47,Stuerner et al.
DNfl004,RHS,DNg47,Stuerner et al.
DNfl005,LHS,DNg48,Stuerner et al.
DNfl005,RHS,DNg48,Stuerner et al.
DNfl006,LHS,DNg52,Stuerner et al.
DNfl006,RHS,DNg52,Stuerner et al.
DNfl007,RHS,DNg61,Stuerner et al.
DNfl008,LHS,DNg62,Stuerner et al.
DNfl008,RHS,DNg62,Stuerner et al.
DNfl009,LHS,DNg83,Stuerner et al.
DNfl009,RHS,DNg83,Stuerner et al.
DNfl010,LHS,DNg85,Stuerner et al.
DNfl010,RHS,DNg85,Stuerner et al.
DNfl011,LHS,DNp56,Stuerner et al.
DNfl011,RHS,DNp56,Stuerner et al.
DNfl012,LHS,DNge123,BANC v514
DNfl012,RHS,DNge123,BANC v514
DNfl014,LHS,DNge024,BANC v514
DNfl014,RHS,DNge009,BANC v514
DNfl015,LHS,DNge039,BANC v514
DNfl015,RHS,DNge039,BANC v514
DNfl017,LHS,DNg61,BANC v514
DNfl019,LHS,DNge025,BANC v514
DNfl019,RHS,DNge025,BANC v514
DNfl020,LHS,DNge057,BANC v514
DNfl020,RHS,DNge057,BANC v514
DNfl021,LHS,DNde004,BANC v514
DNfl021,LHS,DNde003,BANC v514
DNfl021,LHS,DNge174,BANC v514
DNfl021,LHS,DNge173,BANC v514
DNfl021,RHS,DNxl067,BANC v514
DNfl021,RHS,DNge174,BANC v514
DNfl021,RHS,DNde004,BANC v514
DNfl021,RHS,DNde003,BANC v514
DNfl021,RHS,DNge173,BANC v514
DNfl022,LHS,DNge027,BANC v514
DNfl022,RHS,DNge027,BANC v514
DNfl024,LHS,DNge001,BANC v514
DNfl024,LHS,DNge025,BANC v514
DNfl024,RHS,DNge001,BANC v514
DNfl024,RHS,DNge025,BANC v514
DNfl025,LHS,DNge077,BANC v514
DNfl025,RHS,DNge077,BANC v514
DNfl026,LHS,DNge147,BANC v514
DNfl026,LHS,DNge081,BANC v514
DNfl026,RHS,DNge147,BANC v514
DNfl027,LHS,DNge096,BANC v514
DNfl027,RHS,DNge096,BANC v514
DNfl028,LHS,DNge019,BANC v514
DNfl028,RHS,DNg12_e,BANC v514
DNfl030,LHS,DNg12_e,BANC v514
DNfl030,RHS,DNge012,BANC v514
DNfl031,LHS,DNge024,BANC v514
DNfl032,LHS,DNge146,BANC v514
DNfl032,RHS,DNge146,BANC v514
DNfl033,RHS,DNge056,BANC v514
DNfl035,LHS,DNge105,BANC v514
DNfl035,RHS,DNge105,BANC v514
DNfl036,LHS,DNge011,BANC v514
DNfl036,RHS,DNge012,BANC v514
DNfl036,RHS,DNge011,BANC v514
DNfl037,LHS,synapseless descending,BANC v514
DNfl037,LHS,XD,BANC v514
DNfl037,LHS,DNge061,BANC v514
DNfl037,RHS,DNge061,BANC v514
DNfl038,LHS,DNge065,BANC v514
DNfl038,RHS,DNge065,BANC v514
DNfl039,LHS,DNge076,BANC v514
DNfl039,RHS,DNge076,BANC v514
DNfl040,LHS,DNge022,BANC v514
DNfl040,RHS,DNge022,BANC v514
DNfl041,LHS,DNge068,BANC v514
DNfl041,RHS,DNge068,BANC v514
DNfl042,LHS,DNge036,BANC v514
DNfl042,RHS,DNge036,BANC v514
DNfl044,RHS,DNg12_a,BANC v514
DNhl001,LHS,DNg14,Stuerner et al.
DNhl001,RHS,DNg14,Stuerner et al.
DNht001,LHS,DNpe054,BANC v514
DNht001,LHS,DNp17,BANC v514
DNht001,LHS,DNpe008,BANC v514
DNht001,RHS,PS225?,BANC v514
DNht001,RHS,DNpe008,BANC v514
DNht001,RHS,DNpe054,BANC v514
DNht001,RHS,DNp17,BANC v514
DNht001,RHS,DNge109,BANC v514
DNit001,LHS,DNa03,Stuerner et al.
DNit001,RHS,DNa03,Stuerner et al.
DNit002,RHS,DNg77,Stuerner et al.
DNit003,LHS,DNg08_a,BANC v514
DNit003,LHS,DNge094,BANC v514
DNit003,LHS,DNge089,BANC v514
DNit003,RHS,DNg08_b,BANC v514
DNit004,LHS,DNpe035,BANC v514
DNit004,RHS,DNpe035,BANC v514
DNit005,LHS,DNge111,BANC v514
DNit005,LHS,DNg18_a,BANC v514
DNit005,RHS,DNge111,BANC v514
DNit007,LHS,DNg08_a,BANC v514
DNit007,RHS,DNg08_a,BANC v514
DNit008,LHS,DNge096,BANC v514
DNit008,RHS,DNge096,BANC v514
DNit012,LHS,DNpe033,BANC v514
DNit012,RHS,DNpe033,BANC v514
DNit013,RHS,DNpe023,BANC v514
DNlt001,LHS,DNg40,Stuerner et al.
DNlt001,RHS,DNg40,Stuerner et al.
DNlt002,LHS,DNp01,Stuerner et al.
DNlt002,RHS,DNp01,Stuerner et al.
DNlt003,LHS,DNp02,Stuerner et al.
DNlt003,RHS,DNp02,Stuerner et al.
DNlt004,LHS,DNp04,Stuerner et al.
DNlt004,RHS,DNp04,Stuerner et al.
DNlt005,LHS,DNp06,Stuerner et al.
DNlt005,RHS,DNp06,Stuerner et al.
DNlt006,LHS,DNg106,Stuerner et al.
DNlt006,RHS,DNg106,Stuerner et al.
DNlt007,LHS,DNp103,Stuerner et al.
DNlt007,RHS,DNp103,Stuerner et al.
DNlt008,LHS,DNp59,Stuerner et al.
DNlt008,RHS,DNp59,Stuerner et al.
DNlt010,LHS,DNg01,BANC v514
DNlt010,RHS,DNg01,BANC v514
DNlt011,LHS,DNpe042,BANC v514
DNlt011,RHS,DNpe042,BANC v514
DNml001,RHS,DNge010,BANC v514
DNnt001,LHS,DNg09,Stuerner et al.
DNnt001,RHS,DNg09,Stuerner et al.
DNnt002,LHS,DNg10,Stuerner et al.
DNnt002,RHS,DNg10,Stuerner et al.
DNnt003,LHS,DNg49,Stuerner et al.
DNnt003,RHS,DNg49,Stuerner et al.
DNnt004,LHS,DNg53,Stuerner et al.
DNnt004,RHS,DNg53,Stuerner et al.
DNnt005,LHS,DNg73,Stuerner et al.
DNnt005,RHS,DNg73,Stuerner et al.
DNnt006,LHS,DNg89,Stuerner et al.
DNnt006,RHS,DNg89,Stuerner et al.
DNnt007,LHS,DNge020,BANC v514
DNnt007,RHS,DNnt008,BANC v514
DNnt007,RHS,DNg12_d,BANC v514
DNnt008,LHS,DNg12_b,BANC v514
DNnt008,LHS,DNg12_e,BANC v514
DNnt008,LHS,DNg12_a,BANC v514
DNnt008,LHS,DNge019,BANC v514
DNnt008,LHS,DNg12_c,BANC v514
DNnt008,RHS,DNge020,BANC v514
DNnt008,RHS,DNg12_e,BANC v514
DNnt008,RHS,DNg12_d,BANC v514
DNnt008,RHS,DNg12_a,BANC v514
DNnt008,RHS,DNge019,BANC v514
