"DN name","Cluster number in figure","Cluster","Count"
"DNge047","12","25","40"
"DNge073","12","25","15"
"DNge102","12","25","12"
"DNge134","12","25","9"
"DNpe044","12","25","8"
"DNg03","11","24","7"
"DNg26","11","24","7"
"DNg27","11","24","7"
"DNg30","11","24","6"
"DNge150","11","24","5"
"DNge151","11","24","4"
"DNge201","11","24","4"
"DNge202","11","24","4"
"DNp24","11","24","4"
"DNp27","11","24","4"
"DNp32","11","24","3"
"DNpe030","11","24","3"
"DNpe048","11","24","3"
"DNpe076","11","24","3"
"DNpe086","11","24","3"
"DNa07","10","23","3"
"DNae008","10","23","3"
"DNg06","10","23","3"
"DNg10","10","23","3"
"DNg18","10","23","3"
"DNge030","10","23","3"
"DNge033","10","23","3"
"DNge043","10","23","3"
"DNge071","10","23","3"
"DNge084","10","23","3"
"DNge086","10","23","3"
"DNge090","10","23","3"
"DNge091","10","23","3"
"DNge092","10","23","3"
"DNge113","10","23","3"
"DNge154","10","23","3"
"DNge157","10","23","3"
"DNp12","10","23","3"
"DNp15","10","23","2"
"DNpe055","10","23","2"
"DNpe082","10","23","2"
"DNa01","9","22","2"
"DNa02","9","22","2"
"DNa03","9","22","2"
"DNa04","9","22","2"
"DNa05","9","22","2"
"DNa06","9","22","2"
"DNa09","9","22","2"
"DNae004","9","22","2"
"DNae005","9","22","2"
"DNae006","9","22","2"
"DNae007","9","22","2"
"DNae008","9","22","2"
"DNae009","9","22","2"
"DNae012","9","22","2"
"DNae014","9","22","2"
"DNae015","9","22","2"
"DNae016","9","22","2"
"DNae017","9","22","2"
"DNae018","9","22","2"
"DNae019","9","22","2"
"DNb01","9","22","2"
"DNbe005","9","22","2"
"DNbe011","9","22","2"
"DNde002","9","22","2"
"DNde003","9","22","2"
"DNde004","9","22","2"
"DNg05","9","22","2"
"DNg06","9","22","2"
"DNg08","9","22","2"
"DNg09","9","22","2"
"DNg31","9","22","2"
"DNge002","9","22","2"
"DNge015","9","22","2"
"DNge023","9","22","2"
"DNge026","9","22","2"
"DNge030","9","22","2"
"DNge031","9","22","2"
"DNge034","9","22","2"
"DNge040","9","22","2"
"DNge042","9","22","2"
"DNge051","9","22","2"
"DNge058","9","22","2"
"DNge062","9","22","2"
"DNge071","9","22","2"
"DNge077","9","22","2"
"DNge087","9","22","2"
"DNge088","9","22","2"
"DNge098","9","22","2"
"DNge100","9","22","2"
"DNge101","9","22","2"
"DNge103","9","22","2"
"DNge107","9","22","2"
"DNge108","9","22","2"
"DNge116","9","22","2"
"DNge123","9","22","2"
"DNge125","9","22","2"
"DNge127","9","22","2"
"DNge173","9","22","2"
"DNge174","9","22","2"
"DNge176","9","22","2"
"DNge177","9","22","2"
"DNge178","9","22","2"
"DNge181","9","22","2"
"DNge185","9","22","2"
"DNge190","9","22","2"
"DNge198","9","22","2"
"DNge211","9","22","2"
"DNge218","9","22","2"
"DNge224","9","22","2"
"DNge227","9","22","2"
"DNge231","9","22","2"
"DNge232","9","22","2"
"DNp03","9","22","2"
"DNp03","9","22","2"
"DNp26","9","22","2"
"DNp49","9","22","2"
"DNpe001","9","22","2"
"DNpe015","9","22","2"
"DNpe016","9","22","2"
"DNpe019","9","22","2"
"DNpe024","9","22","2"
"DNpe055","9","22","2"
"DNpe068","9","22","2"
"DNpe071","9","22","2"
"DNpe079","9","22","2"
"DNpe090","9","22","2"
"DNpe094","9","22","2"
"MDN","9","22","2"
"DNde001","8","17","2"
"DNge067","8","17","2"
"DNge083","8","17","2"
"DNge136","8","17","2"
"DNge182","8","17","2"
"DNge219","8","17","2"
"DNge233","8","17","2"
"DNp08","8","17","2"
"DNpe022","8","17","2"
"DNpe043","8","17","2"
"DNa08","7","13","2"
"DNae010","7","13","2"
"DNb06","7","13","2"
"DNbe008","7","13","2"
"DNge076","7","13","2"
"DNge085","7","13","2"
"DNge115","7","13","2"
"DNge125","7","13","2"
"DNge126","7","13","2"
"DNge147","7","13","2"
"DNge158","7","13","2"
"DNge216","7","13","2"
"DNge225","7","13","2"
"DNp08","7","13","2"
"DNp16","7","13","2"
"DNp22","7","13","2"
"DNpe004","7","13","2"
"DNpe013","7","13","2"
"DNpe033","7","13","2"
"DNde006","6","12","2"
"DNg24","6","12","2"
"DNg29","6","12","2"
"DNge029","6","12","2"
"DNge048","6","12","2"
"DNge060","6","12","2"
"DNge069","6","12","2"
"DNge096","6","12","2"
"DNge141","6","12","2"
"DNge182","6","12","2"
"DNge225","6","12","2"
"DNb05","5","8","2"
"DNbe008","5","8","2"
"DNd02","5","8","2"
"DNg22","5","8","2"
"DNge024","5","8","2"
"DNge032","5","8","2"
"DNge054","5","8","2"
"DNge067","5","8","2"
"DNge069","5","8","2"
"DNge076","5","8","2"
"DNge121","5","8","2"
"DNge158","5","8","2"
"DNge192","5","8","2"
