bodyid,group,Brain_type,VNC_type,root_side,neuropil,Cluster
15424,10000,DNp01,DNlt002,RHS,lt,2
15827,10000,DNp01,DNlt002,LHS,lt,2
13020,10012,DNp18,DNxn033,LHS,xn,4
12574,10012,DNp18,DNxn033,RHS,xn,4
27771,10023,DNp20,DNxn035,RHS,xn,4
14171,10023,DNp20,DNxn035,LHS,xn,4
13848,10058,DNg108,DNxl048,LHS,xl,0
14007,10058,DNg108,DNxl048,RHS,xl,0
13750,10061,DNxl053,DNxl053,RHS,xl,0
17376,10061,DNxl053,DNxl053,LHS,xl,0
13365,10086,DNg105,DNxl055,LHS,xl,0
176792,10086,DNg105,DNxl055,RHS,xl,0
31361,10093,DNg100,DNxl058,RHS,xl,0
40338,10093,DNg100,DNxl058,LHS,xl,0
34253,10097,DNxl080,DNxl080,LHS,xl,0
35473,10097,DNxl080,DNxl080,RHS,xl,0
32424,10101,DNg15,DNxn015,LHS,xn,5
38587,10101,DNg15,DNxn015,RHS,xn,5
35413,10103,DNg74,DNxl041,RHS,xl,0
31742,10103,DNg74,DNxl041,LHS,xl,0
31078,10113,DNp11,DNxn029,LHS,xn,2
31635,10113,DNp11,DNxn029,RHS,xn,2
32742,10118,DNa02,DNxl002,LHS,xl,9
32815,10118,DNa02,DNxl002,RHS,xl,9
30919,10138,DNg16,DNxl006,LHS,xl,3
31613,10138,DNg16,DNxl006,RHS,xl,3
34862,10157,DNp02,DNlt003,RHS,lt,2
28478,10157,DNp02,DNlt003,LHS,lt,2
30346,10194,DNd02,DNxl004,RHS,xl,5
24858,10194,DNd02,DNxl004,LHS,xl,5
30271,10210,DNg34,DNxl010,LHS,xl,3
30999,10210,DNg34,DNxl010,RHS,xl,3
22870,10269,DNut040,DNut040,RHS,ut,0
26725,10269,DNut040,DNut040,LHS,ut,0
27728,10279,DNxl049,DNxl049,RHS,xl,0
29120,10279,DNxl049,DNxl049,LHS,xl,0
29706,10291,DNxl134,DNxl134,RHS,xl,0
31123,10291,DNxl134,DNxl134,LHS,xl,0
34382,10307,DNb05,DNxn009,RHS,xn,5
22875,10307,DNb05,DNxn009,LHS,xn,5
33586,10323,DNp15,DNut022,RHS,ut,10
32667,10323,DNp15,DNut022,LHS,ut,10
24892,10336,DNg98,DNxn096,LHS,xn,0
24316,10336,DNg98,DNxn096,RHS,xn,0
14867,10399,DNg93,DNxl046,LHS,xl,0
15280,10399,DNg93,DNxl046,RHS,xl,0
26926,10410,DNd03,DNxn012,RHS,xn,5
28176,10410,DNd03,DNxn012,LHS,xn,5
25018,10428,DNp31,DNut028,LHS,ut,10
24753,10428,DNp31,DNut028,RHS,ut,10
152849,10465,DNg35,DNxl011,LHS,xl,5
154601,10465,DNg35,DNxl011,RHS,xl,5
39724,10466,DNg74,DNxl040,RHS,xl,0
26448,10466,DNg74,DNxl040,LHS,xl,0
26603,10506,DNa10,DNxn003,LHS,xn,4
22501,10506,DNa10,DNxn003,RHS,xn,4
22394,10535,DNxl014,DNxl014,RHS,xl,0
24193,10535,DNxl014,DNxl014,LHS,xl,0
23404,10621,DNa15,DNut038,LHS,ut,0
33987,10621,DNa15,DNut038,RHS,ut,0
41739,10633,DNut060,DNut060,LHS,ut,0
156265,10633,DNut060,DNut060,RHS,ut,0
40420,10634,DNp06,DNlt005,RHS,lt,2
16369,10634,DNp06,DNlt005,LHS,lt,2
16562,10639,DNxn142,DNxn142,LHS,xn,0
45911,10639,DNxn142,DNxn142,RHS,xn,0
39216,10648,DNxl133,DNxl133,LHS,xl,0
192220,10648,DNxl133,DNxl133,RHS,xl,0
36718,10656,DNg97,DNxl054,LHS,xl,0
34737,10656,DNg97,DNxl054,RHS,xl,0
32504,10663,DNp73,DNxn099,RHS,xn,0
33545,10663,DNp73,DNxn099,LHS,xn,0
31531,10681,DNp26,DNxn040,RHS,xn,9
31446,10681,DNp26,DNxn040,LHS,xn,9
173123,10719,DNxn125,DNxn125,RHS,xn,0
31408,10719,DNxn125,DNxn125,LHS,xn,0
152850,10732,DNp10,DNxl018,RHS,xl,2
29182,10732,DNp10,DNxl018,LHS,xl,2
30389,10751,DNa01,DNxl001,LHS,xl,9
31381,10751,DNa01,DNxl001,RHS,xl,9
