,source_uid,source_bid,source_name,source_class,source_type,target_uid,target_bid,target_name,target_class,target_type,target_muscle,syn_count,eff_weight
0,0,20142,IN03A062,intrinsic,acetylcholine,4567,13163,MNfl40,motor,glutamate,Ti flexor,13,13
1,0,20142,IN03A062,intrinsic,acetylcholine,11570,13283,MNfl21,motor,glutamate,Ti flexor,9,9
2,0,20142,IN03A062,intrinsic,acetylcholine,12793,13399,MNfl21,motor,glutamate,Ti flexor,32,32
3,0,20142,IN03A062,intrinsic,acetylcholine,22074,18440,MNfl07,motor,glutamate,Tr flexor,5,5
4,0,20142,IN03A062,intrinsic,acetylcholine,6633,18963,MNfl28,motor,glutamate,Acc. ti flexor,10,10
5,25,162210,IN21A100,intrinsic,glutamate,8283,19652,MNfl20,motor,glutamate,Tergotr.,11,-11
6,25,162210,IN21A100,intrinsic,glutamate,2088,166309,MNfl57,motor,glutamate,Tergotr.,10,-10
7,35,17709,IN13A042,intrinsic,gaba,5550,11657,MNfl41,motor,glutamate,Ti extensor,29,-29
8,35,17709,IN13A042,intrinsic,gaba,18089,12396,MNfl56,motor,glutamate,Tergopleural/Pleural promotor,13,-13
9,35,17709,IN13A042,intrinsic,gaba,13075,12686,MNfl54,motor,glutamate,Tergopleural/Pleural promotor,75,-75
10,35,17709,IN13A042,intrinsic,gaba,2230,12704,MNfl39,motor,glutamate,Ti extensor,40,-40
11,35,17709,IN13A042,intrinsic,gaba,6137,13920,MNfl44,motor,glutamate,Fe reductor,5,-5
12,35,17709,IN13A042,intrinsic,gaba,13722,14949,MNfl13,motor,glutamate,Fe reductor,47,-47
13,35,17709,IN13A042,intrinsic,gaba,19372,17176,MNfl36,motor,glutamate,Sternal anterior rotator,5,-5
14,35,17709,IN13A042,intrinsic,gaba,938,19319,MNfl55,motor,glutamate,Tergopleural/Pleural promotor,35,-35
15,35,17709,IN13A042,intrinsic,gaba,7314,21944,MNfl35,motor,glutamate,Fe reductor,45,-45
16,35,17709,IN13A042,intrinsic,gaba,3357,156857,MNfl35,motor,glutamate,Fe reductor,51,-51
17,40,26941,IN04B111,intrinsic,acetylcholine,20086,13628,MNfl17,motor,glutamate,Pleural remotor/abductor,6,6
18,40,26941,IN04B111,intrinsic,acetylcholine,2525,21753,MNfl57,motor,glutamate,Tergotr.,5,5
19,40,26941,IN04B111,intrinsic,acetylcholine,8692,29689,MNfl06,motor,glutamate,Sternal posterior rotator,5,5
20,40,26941,IN04B111,intrinsic,acetylcholine,18514,100515,MNfl22,motor,glutamate,Sternotrochanter,5,5
21,42,15874,IN03A034,intrinsic,acetylcholine,21423,13490,MNfl53,motor,glutamate,Tergopleural/Pleural promotor,12,12
22,51,15904,IN03A045,intrinsic,acetylcholine,13075,12686,MNfl54,motor,glutamate,Tergopleural/Pleural promotor,121,121
23,51,15904,IN03A045,intrinsic,acetylcholine,21423,13490,MNfl53,motor,glutamate,Tergopleural/Pleural promotor,72,72
24,51,15904,IN03A045,intrinsic,acetylcholine,9258,17226,MNfl12,motor,glutamate,Tr flexor,5,5
25,51,15904,IN03A045,intrinsic,acetylcholine,938,19319,MNfl55,motor,glutamate,Tergopleural/Pleural promotor,40,40
26,51,15904,IN03A045,intrinsic,acetylcholine,23267,19771,MNfl12,motor,glutamate,Tr flexor,5,5
27,51,15904,IN03A045,intrinsic,acetylcholine,7314,21944,MNfl35,motor,glutamate,Fe reductor,12,12
28,62,25008,IN09A072,intrinsic,gaba,16232,21718,MNfl16,motor,glutamate,Sternal adductor,7,-7
29,104,13635,IN03B042,intrinsic,gaba,18089,12396,MNfl56,motor,glutamate,Tergopleural/Pleural promotor,5,-5
30,104,13635,IN03B042,intrinsic,gaba,13075,12686,MNfl54,motor,glutamate,Tergopleural/Pleural promotor,11,-11
31,104,13635,IN03B042,intrinsic,gaba,21423,13490,MNfl53,motor,glutamate,Tergopleural/Pleural promotor,10,-10
32,104,13635,IN03B042,intrinsic,gaba,19372,17176,MNfl36,motor,glutamate,Sternal anterior rotator,52,-52
33,104,13635,IN03B042,intrinsic,gaba,938,19319,MNfl55,motor,glutamate,Tergopleural/Pleural promotor,6,-6
34,104,13635,IN03B042,intrinsic,gaba,17515,26566,MNfl36,motor,glutamate,Sternal anterior rotator,143,-143
35,104,13635,IN03B042,intrinsic,gaba,16635,155853,MNfl16,motor,glutamate,Sternal adductor,50,-50
36,108,11636,IN20A.22A001,intrinsic,acetylcholine,20086,13628,MNfl17,motor,glutamate,Pleural remotor/abductor,7,7
37,108,11636,IN20A.22A001,intrinsic,acetylcholine,19861,18579,MNfl08,motor,glutamate,Sternotrochanter,60,60
38,108,11636,IN20A.22A001,intrinsic,acetylcholine,8283,19652,MNfl20,motor,glutamate,Tergotr.,64,64
39,108,11636,IN20A.22A001,intrinsic,acetylcholine,11776,19929,MNfl09,motor,glutamate,Tr extensor,9,9
40,108,11636,IN20A.22A001,intrinsic,acetylcholine,2525,21753,MNfl57,motor,glutamate,Tergotr.,26,26
41,108,11636,IN20A.22A001,intrinsic,acetylcholine,17515,26566,MNfl36,motor,glutamate,Sternal anterior rotator,5,5
42,108,11636,IN20A.22A001,intrinsic,acetylcholine,18514,100515,MNfl22,motor,glutamate,Sternotrochanter,42,42
43,108,11636,IN20A.22A001,intrinsic,acetylcholine,3877,155633,MNfl18,motor,glutamate,Tergotr.,31,31
44,108,11636,IN20A.22A001,intrinsic,acetylcholine,2088,166309,MNfl57,motor,glutamate,Tergotr.,34,34
45,108,11636,IN20A.22A001,intrinsic,acetylcholine,17497,173560,MNfl37,motor,glutamate,Tr extensor,20,20
46,111,11374,IN03A006,intrinsic,acetylcholine,11044,13819,MNfl27,motor,glutamate,Acc. ti flexor,11,11
47,111,11374,IN03A006,intrinsic,acetylcholine,11169,15367,MNfl27,motor,glutamate,Acc. ti flexor,37,37
48,111,11374,IN03A006,intrinsic,acetylcholine,22074,18440,MNfl07,motor,glutamate,Tr flexor,9,9
49,119,22739,IN13B078,intrinsic,gaba,5550,11657,MNfl41,motor,glutamate,Ti extensor,23,-23
50,119,22739,IN13B078,intrinsic,gaba,20040,17664,MNfl10,motor,glutamate,front leg,8,-8
51,125,11008,IN07B014,intrinsic,acetylcholine,3879,10968,MNhl68,motor,glutamate,hind leg,36,36
52,125,11008,IN07B014,intrinsic,acetylcholine,14057,11022,MNhl36,motor,glutamate,Sternal anterior rotator,84,84
53,125,11008,IN07B014,intrinsic,acetylcholine,21760,11562,MNhl36,motor,glutamate,Sternal anterior rotator,123,123
54,125,11008,IN07B014,intrinsic,acetylcholine,15848,11809,MNhl59,motor,glutamate,hind leg,19,19
55,125,11008,IN07B014,intrinsic,acetylcholine,16916,12474,MNhl28,motor,glutamate,Acc. ti flexor,82,82
56,125,11008,IN07B014,intrinsic,acetylcholine,2759,12504,MNhl67,motor,glutamate,hind leg,5,5
57,125,11008,IN07B014,intrinsic,acetylcholine,19697,12725,MNhl27,motor,glutamate,Acc. ti flexor,11,11
58,125,11008,IN07B014,intrinsic,acetylcholine,620,13069,MNhl22,motor,glutamate,Sternotrochanter,6,6
59,125,11008,IN07B014,intrinsic,acetylcholine,5505,13170,MNhl24,motor,glutamate,Acc. ti flexor,25,25
60,125,11008,IN07B014,intrinsic,acetylcholine,18898,13512,MNhl68,motor,glutamate,hind leg,12,12
61,125,11008,IN07B014,intrinsic,acetylcholine,20517,13543,MNhl59,motor,glutamate,hind leg,18,18
62,125,11008,IN07B014,intrinsic,acetylcholine,12901,14095,MNad34,motor,glutamate,abdomen A2,18,18
63,125,11008,IN07B014,intrinsic,acetylcholine,12899,16228,MNhl25,motor,glutamate,Acc. ti flexor,15,15
64,125,11008,IN07B014,intrinsic,acetylcholine,10615,17970,MNhl62,motor,glutamate,hind leg,8,8
65,125,11008,IN07B014,intrinsic,acetylcholine,3958,18491,MNhl40,motor,glutamate,Ti flexor,19,19
66,125,11008,IN07B014,intrinsic,acetylcholine,16564,19260,MNhl25,motor,glutamate,Acc. ti flexor,17,17
67,125,11008,IN07B014,intrinsic,acetylcholine,20811,20593,MNhl27,motor,glutamate,Acc. ti flexor,38,38
68,125,11008,IN07B014,intrinsic,acetylcholine,16877,24669,MNml36,motor,glutamate,Sternal anterior rotator,37,37
69,125,11008,IN07B014,intrinsic,acetylcholine,6018,49582,MNhm42,motor,glutamate,haltere,21,21
70,125,11008,IN07B014,intrinsic,acetylcholine,2419,152620,MNhl08,motor,glutamate,Sternotrochanter,9,9
71,125,11008,IN07B014,intrinsic,acetylcholine,4061,152621,MNhl08,motor,glutamate,Sternotrochanter,16,16
72,125,11008,IN07B014,intrinsic,acetylcholine,4176,165340,MNhl09,motor,glutamate,Tr extensor,5,5
73,125,11008,IN07B014,intrinsic,acetylcholine,21025,192299,MNml21,motor,glutamate,Ti flexor,8,8
74,141,20800,IN13A058,intrinsic,gaba,15533,12096,MNfl31,motor,glutamate,Pleural remotor/abductor,5,-5
75,141,20800,IN13A058,intrinsic,gaba,20086,13628,MNfl17,motor,glutamate,Pleural remotor/abductor,46,-46
76,141,20800,IN13A058,intrinsic,gaba,6137,13920,MNfl44,motor,glutamate,Fe reductor,10,-10
77,141,20800,IN13A058,intrinsic,gaba,13722,14949,MNfl13,motor,glutamate,Fe reductor,6,-6
78,142,20404,IN19A064,intrinsic,gaba,23361,13952,MNfl38,motor,glutamate,ltm1-tibia,6,-6
79,142,20404,IN19A064,intrinsic,gaba,215,14069,MNfl32,motor,glutamate,ltm,8,-8
80,163,18337,IN01A052,intrinsic,acetylcholine,13075,12686,MNfl54,motor,glutamate,Tergopleural/Pleural promotor,12,12
81,163,18337,IN01A052,intrinsic,acetylcholine,6137,13920,MNfl44,motor,glutamate,Fe reductor,31,31
82,163,18337,IN01A052,intrinsic,acetylcholine,13722,14949,MNfl13,motor,glutamate,Fe reductor,7,7
83,163,18337,IN01A052,intrinsic,acetylcholine,7314,21944,MNfl35,motor,glutamate,Fe reductor,11,11
84,163,18337,IN01A052,intrinsic,acetylcholine,3357,156857,MNfl35,motor,glutamate,Fe reductor,10,10
85,168,16076,IN11A007,intrinsic,acetylcholine,20654,12628,MNfl55,motor,glutamate,Tergopleural/Pleural promotor,6,6
86,168,16076,IN11A007,intrinsic,acetylcholine,7756,16250,MNfl54,motor,glutamate,Tergopleural/Pleural promotor,10,10
87,187,16532,IN12B028,intrinsic,gaba,16758,11786,MNfl32,motor,glutamate,ltm,9,-9
88,187,16532,IN12B028,intrinsic,gaba,20654,12628,MNfl55,motor,glutamate,Tergopleural/Pleural promotor,5,-5
89,187,16532,IN12B028,intrinsic,gaba,1529,14783,MNfl14,motor,glutamate,Acc. tr flexor,21,-21
90,187,16532,IN12B028,intrinsic,gaba,3277,16400,MNfl14,motor,unknown,Acc. tr flexor,13,-13
91,187,16532,IN12B028,intrinsic,gaba,18719,16658,MNfl23,motor,glutamate,ltm,6,-6
92,187,16532,IN12B028,intrinsic,gaba,1895,19886,MNfl12,motor,glutamate,Tr flexor,9,-9
93,187,16532,IN12B028,intrinsic,gaba,16232,21718,MNfl16,motor,glutamate,Sternal adductor,6,-6
94,187,16532,IN12B028,intrinsic,gaba,15011,22126,MNfl20,motor,glutamate,Tergotr.,29,-29
95,187,16532,IN12B028,intrinsic,gaba,3886,22729,MNfl14,motor,glutamate,Acc. tr flexor,13,-13
96,187,16532,IN12B028,intrinsic,gaba,23373,23318,MNfl57,motor,glutamate,Tergotr.,8,-8
97,191,14137,IN04B008,intrinsic,acetylcholine,22286,12891,MNfl44,motor,glutamate,Fe reductor,39,39
