,source_uid,source_bid,source_name,source_class,target_uid,target_bid,target_name,target_class,nt_type,neuropil,syn_count,eff_weight
0,889,10095,DNxl055,descending,0,20142,IN03A062,intrinsic,gaba,T1,9,-9
1,7973,10117,DNxl080,descending,0,20142,IN03A062,intrinsic,gaba,T1,9,-9
2,12727,10240,DNxl048,descending,0,20142,IN03A062,intrinsic,gaba,T1,7,-7
3,14360,10339,DNxl058,descending,0,20142,IN03A062,intrinsic,acetylcholine,T1,6,6
4,1178,10466,DNxl040,descending,0,20142,IN03A062,intrinsic,gaba,T1,20,-20
5,21372,10623,DNxl134,descending,0,20142,IN03A062,intrinsic,acetylcholine,T1,6,6
6,21741,11264,DNxl042,descending,0,20142,IN03A062,intrinsic,acetylcholine,T1,6,6
7,6994,12439,DNxl117,descending,0,20142,IN03A062,intrinsic,acetylcholine,T1,31,31
8,11099,21440,DNfl032,descending,0,20142,IN03A062,intrinsic,gaba,T1,11,-11
9,3116,10210,DNxl010,descending,18,17253,IN09A024,intrinsic,gaba,T1,12,-12
10,8262,10122,DNxn029,descending,21,28880,IN21A089,intrinsic,acetylcholine,T1,18,18
11,7424,11573,DNxn176,descending,21,28880,IN21A089,intrinsic,acetylcholine,T1,11,11
12,17442,12304,DNxn008,descending,21,28880,IN21A089,intrinsic,glutamate,T1,45,-45
13,21040,13239,DNxn102,descending,21,28880,IN21A089,intrinsic,acetylcholine,T1,7,7
14,4959,13804,DNxl131,descending,21,28880,IN21A089,intrinsic,gaba,T1,15,-15
15,20068,15597,DNxn174,descending,21,28880,IN21A089,intrinsic,acetylcholine,T1,29,29
16,2018,18777,DNxn173,descending,21,28880,IN21A089,intrinsic,acetylcholine,T1,28,28
17,18512,12969,DNxl108,descending,25,162210,IN21A100,intrinsic,acetylcholine,T1,12,12
18,9886,10093,DNxl058,descending,35,17709,IN13A042,intrinsic,acetylcholine,T1,12,12
19,14071,10656,DNxl054,descending,35,17709,IN13A042,intrinsic,acetylcholine,T1,5,5
20,22720,10941,DNxl130,descending,35,17709,IN13A042,intrinsic,acetylcholine,T1,24,24
21,20228,12025,DNxl119,descending,35,17709,IN13A042,intrinsic,acetylcholine,T1,7,7
22,14578,14522,DNxn090,descending,35,17709,IN13A042,intrinsic,acetylcholine,T1,9,9
23,9544,15074,DNxl059,descending,35,17709,IN13A042,intrinsic,acetylcholine,T1,75,75
24,22085,16075,DNxn090,descending,35,17709,IN13A042,intrinsic,acetylcholine,T1,16,16
25,877,23953,DNfl030,descending,35,17709,IN13A042,intrinsic,acetylcholine,T1,7,7
26,21086,34426,DNut032,descending,35,17709,IN13A042,intrinsic,acetylcholine,T1,9,9
27,20238,12451,DNxl115,descending,37,17447,IN13B035,intrinsic,gaba,T1,11,-11
28,21643,10336,DNxn096,descending,42,15874,IN03A034,intrinsic,gaba,T1,50,-50
29,11345,11959,DNxn096,descending,42,15874,IN03A034,intrinsic,gaba,T1,63,-63
30,4994,12029,DNxn066,descending,42,15874,IN03A034,intrinsic,gaba,T1,15,-15
31,20359,12623,DNxn032,descending,42,15874,IN03A034,intrinsic,acetylcholine,T1,48,48
32,13088,12716,DNxl112,descending,42,15874,IN03A034,intrinsic,glutamate,T1,18,-18
33,7408,13012,DNxn032,descending,42,15874,IN03A034,intrinsic,acetylcholine,T1,12,12
34,3846,13169,DNxl038,descending,42,15874,IN03A034,intrinsic,gaba,T1,27,-27
35,7393,13244,DNxl038,descending,42,15874,IN03A034,intrinsic,gaba,T1,18,-18
